accession_1	lysine_ct	accession_2	delta_mass	modification	
14417.91_Da_E647 P02294_2full131_1G_P14_1T Acetyl; Acetyl; Acetyl; Acetyl	19	P02294_2full131_1G_P14_1T Acetyl; Acetyl; Acetyl; Acetyl	0.00	0.00
14459.91_Da_E1738 P02294_2full131_1G_P14_1T Acetyl; Acetyl; Acetyl; Acetyl; Acetyl	19	14417.91_Da_E647 P02294_2full131_1G_P14_1T Acetyl; Acetyl; Acetyl; Acetyl	42.01	42.01 Acetyl
14459.91_Da_E1738 P02294_2full131_1G_P14_1T Acetyl; Acetyl; Acetyl; Acetyl; Acetyl	19	P02294_2full131_1G_P14_1T Acetyl; Acetyl; Acetyl; Acetyl	42.00	42.00 Acetyl
14249.85_Da_E414 P02294_2full131_1G_P1_1T Unmodified	19	P02294_2full131_1G_P1_1T Unmodified	0.00	0.00
11401.55_Da_E115 P02309_2full103_1G_P9_1T Acetyl; Acetyl; Missed Monoisotopic (-1)	11	P02309_2full103_1G_P9_1T Acetyl; Acetyl	-1.00	-1.00 Missed Monoisotopic (-1)
11401.55_Da_E115 P02309_2full103_1G_P9_1T Acetyl; Acetyl; Missed Monoisotopic (-1)	11	11359.55_Da_E511 P02309_2full103_1G_P4_1T Acetyl; Missed Monoisotopic (-1)	42.01	42.01 Acetyl
11443.56_Da_E223 P02309_2full103_1G_P10_1T Acetyl; Acetyl; Acetyl; Missed Monoisotopic (-1)	11	11401.55_Da_E115 P02309_2full103_1G_P9_1T Acetyl; Acetyl; Missed Monoisotopic (-1)	42.01	42.01 Acetyl
11579.49_Da_E362 P02309_2full103_1G_P9_1T Acetyl; Acetyl; Missed Monoisotopic (-1); Sulfate Adduct; Phospho	11	11401.55_Da_E115 P02309_2full103_1G_P9_1T Acetyl; Acetyl; Missed Monoisotopic (-1)	177.94	177.94 Sulfate Adduct; Phospho
11485.57_Da_E327 P02309_2full103_1G_P11_1T Acetyl; Acetyl; Acetyl; Acetyl; Missed Monoisotopic (-1)	11	11401.55_Da_E115 P02309_2full103_1G_P9_1T Acetyl; Acetyl; Missed Monoisotopic (-1)	84.02	84.02 Acetyl; Acetyl
11359.55_Da_E511 P02309_2full103_1G_P4_1T Acetyl; Missed Monoisotopic (-1)	11	P02309_2full103_1G_P4_1T Acetyl	-1.00	-1.00 Missed Monoisotopic (-1)
11443.56_Da_E223 P02309_2full103_1G_P10_1T Acetyl; Acetyl; Acetyl; Missed Monoisotopic (-1)	11	11359.55_Da_E511 P02309_2full103_1G_P4_1T Acetyl; Missed Monoisotopic (-1)	84.02	84.02 Acetyl; Acetyl
11443.56_Da_E223 P02309_2full103_1G_P10_1T Acetyl; Acetyl; Acetyl; Missed Monoisotopic (-1)	11	P02309_2full103_1G_P10_1T Acetyl; Acetyl; Acetyl	-1.00	-1.00 Missed Monoisotopic (-1)
11485.57_Da_E327 P02309_2full103_1G_P11_1T Acetyl; Acetyl; Acetyl; Acetyl; Missed Monoisotopic (-1)	11	11443.56_Da_E223 P02309_2full103_1G_P10_1T Acetyl; Acetyl; Acetyl; Missed Monoisotopic (-1)	42.01	42.01 Acetyl
11527.58_Da_E612 P02309_2full103_1G_P10_1T Acetyl; Acetyl; Acetyl; Missed Monoisotopic (-1); Acetyl; Acetyl	11	11443.56_Da_E223 P02309_2full103_1G_P10_1T Acetyl; Acetyl; Acetyl; Missed Monoisotopic (-1)	84.02	84.02 Acetyl; Acetyl
11485.57_Da_E327 P02309_2full103_1G_P11_1T Acetyl; Acetyl; Acetyl; Acetyl; Missed Monoisotopic (-1)	11	P02309_2full103_1G_P11_1T Acetyl; Acetyl; Acetyl; Acetyl	-1.00	-1.00 Missed Monoisotopic (-1)
11527.58_Da_E612 P02309_2full103_1G_P10_1T Acetyl; Acetyl; Acetyl; Missed Monoisotopic (-1); Acetyl; Acetyl	11	11485.57_Da_E327 P02309_2full103_1G_P11_1T Acetyl; Acetyl; Acetyl; Acetyl; Missed Monoisotopic (-1)	42.01	42.01 Acetyl
11443.56_Da_E1230 P02309_2full103_1G_P10_1T Acetyl; Acetyl; Acetyl; Missed Monoisotopic (-1)	11	P02309_2full103_1G_P10_1T Acetyl; Acetyl; Acetyl	-1.00	-1.00 Missed Monoisotopic (-1)
P04912_2full132_1G_P3_2T Acetyl	11	YBL003C		
P04912_2full132_1G_P1_2T Unmodified	11	YBL003C		
P02293_2full131_1G_P4_1T Acetyl	20	YDR224C		
P02293_2full131_1G_P1_1T Unmodified	20	YDR224C		
P02293_2full131_1G_P8_1T Acetyl; Acetyl	20	YDR224C		
P02293_2full131_1G_P9_1T Acetyl; Acetyl; Acetyl	20	YDR224C		
P61830_2full136_1G_P1_1T Unmodified	16	YBR010W		
P61830_2full136_1G_P43_1T Methyl, Methyl; Methyl, Methyl; Methyl, Methyl	16	YBR010W		
P61830_2full136_1G_P40_1T Methyl, Methyl, Methyl; Methyl, Methyl	16	YBR010W		
P61830_2full136_1G_P29_1T Methyl, Methyl, Methyl; Ox	16	YBR010W		
P02294_2full131_1G_P4_1T Acetyl	19	YBL002W		
P02294_2full131_1G_P6_1T Acetyl; Ox	19	YBL002W		
P02294_2full131_1G_P8_1T Acetyl; Acetyl	19	YBL002W		
P02294_2full131_1G_P11_1T Acetyl; Acetyl; Acetyl	19	YBL002W		
P02294_2full131_1G_P14_1T Acetyl; Acetyl; Acetyl; Acetyl	19	YBL002W		
P02294_2full131_1G_P1_1T Unmodified	19	YBL002W		
P02309_2full103_1G_P9_1T Acetyl; Acetyl	11	YBR009C		
P02309_2full103_1G_P4_1T Acetyl	11	YBR009C		
P02309_2full103_1G_P10_1T Acetyl; Acetyl; Acetyl	11	YBR009C		
P02309_2full103_1G_P11_1T Acetyl; Acetyl; Acetyl; Acetyl	11	YBR009C		
