accession_1	lysine_ct	accession_2	delta_mass	modification	
10342.55_Da_E84 P0CX25_2full92_2G_P2_1T Ox	11	P0CX25_2full92_2G_P2_1T Ox	0.00	0.00
10440.62_Da_E1035 P0CX25_2full92_2G_P2_1T Ox; Acetone Artifact	11	10342.55_Da_E84 P0CX25_2full92_2G_P2_1T Ox	98.07	98.07 Acetone Artifact
10357.54_Da_E1231 P0CX25_2full92_2G_P2_1T Ox; Missed Monoisotopic (-1); Ox	11	10342.55_Da_E84 P0CX25_2full92_2G_P2_1T Ox	14.99	14.99 Missed Monoisotopic (-1); Ox
10440.62_Da_E1035 P0CX25_2full92_2G_P2_1T Ox; Acetone Artifact	11	P0CX25_2full92_2G_P2_1T Ox	98.07	98.07 Acetone Artifact
10409.6_Da_E477	11	10309.53_Da_E526 P0CX25_2full92_2G_P1_1T Ammonia loss	100.08	100.08
10424.55_Da_E145 P0CX25_2full92_2G_P3_1T Phospho; Water Adduct	11	P0CX25_2full92_2G_P3_1T Phospho	18.02	18.02 Water Adduct
10325.56_Da_E798 P0CX25_2full92_2G_P2_1T Ox; Ammonia loss	11	P0CX25_2full92_2G_P2_1T Ox	-17.00	-17.00 Ammonia loss
12803.64_Da_E30 Q08745_2full105_1G_P1_1T Retained Met	9	Q08745_2full105_1G_P1_1T Unmodified	131.03	131.03 Retained Met
12901.7_Da_E280 Q08745_2full105_1G_P1_1T Retained Met; Acetone Artifact	9	12803.64_Da_E30 Q08745_2full105_1G_P1_1T Retained Met	98.07	98.07 Acetone Artifact
12819.63_Da_E49 Q08745_2full105_1G_P2_1T Ox; Retained Met	9	12803.64_Da_E30 Q08745_2full105_1G_P1_1T Retained Met	16.00	16.00 Ox
12917.71_Da_E625 Q08745_2full105_1G_P1_1T Retained Met; Acetone Artifact; Ox	9	12803.64_Da_E30 Q08745_2full105_1G_P1_1T Retained Met	114.06	114.06 Acetone Artifact; Ox
12834.63_Da_E208 P46784_2full105_1G_P2_1T Ox; Retained Met; Ox	9	12803.64_Da_E30 Q08745_2full105_1G_P1_1T Retained Met	30.98	30.98
12917.71_Da_E625 Q08745_2full105_1G_P1_1T Retained Met; Acetone Artifact; Ox	9	12901.7_Da_E280 Q08745_2full105_1G_P1_1T Retained Met; Acetone Artifact	16.00	16.00 Ox
12901.7_Da_E280 Q08745_2full105_1G_P1_1T Retained Met; Acetone Artifact	9	12819.63_Da_E49 Q08745_2full105_1G_P2_1T Ox; Retained Met	82.07	82.07
12901.7_Da_E280 Q08745_2full105_1G_P1_1T Retained Met; Acetone Artifact	9	12886.69_Da_E545 P18852_2full110_1G_P2_1T Ox; Acetyl; Acetone Artifact; Deamidation	15.02	15.02 Acetone Artifact; Missing Leucine (L)
12819.63_Da_E49 Q08745_2full105_1G_P2_1T Ox; Retained Met	9	Q08745_2full105_1G_P2_1T Ox	131.03	131.03 Retained Met
12917.71_Da_E625 Q08745_2full105_1G_P1_1T Retained Met; Acetone Artifact; Ox	9	12819.63_Da_E49 Q08745_2full105_1G_P2_1T Ox; Retained Met	98.07	98.07 Acetone Artifact
12834.63_Da_E208 P46784_2full105_1G_P2_1T Ox; Retained Met; Ox	9	12819.63_Da_E49 Q08745_2full105_1G_P2_1T Ox; Retained Met	14.99	14.99 Missed Monoisotopic (-1); Ox
12819.63_Da_E49 Q08745_2full105_1G_P2_1T Ox; Retained Met	9	12787.61_Da_E731 P18852_2full110_1G_P2_1T Ox; Acetyl	32.02	32.02 Ox; Ox
12834.63_Da_E208 P46784_2full105_1G_P2_1T Ox; Retained Met; Ox	9	P46784_2full105_1G_P2_1T Ox	147.03	147.03 Retained Met; Ox
12886.69_Da_E545 P18852_2full110_1G_P2_1T Ox; Acetyl; Acetone Artifact; Deamidation	9	12582.54_Da_E1044 Q05926_2full109_1G_P2_1T Ox	304.14	304.14
12886.69_Da_E545 P18852_2full110_1G_P2_1T Ox; Acetyl; Acetone Artifact; Deamidation	9	12787.61_Da_E731 P18852_2full110_1G_P2_1T Ox; Acetyl	99.07	99.07 Acetone Artifact; Deamidation
12787.61_Da_E731 P18852_2full110_1G_P2_1T Ox; Acetyl	9	P18852_2full110_1G_P2_1T Ox	42.00	42.00 Acetyl
12787.61_Da_E731 P18852_2full110_1G_P2_1T Ox; Acetyl	9	12483.47_Da_E104	304.14	304.14
12582.54_Da_E1044 Q05926_2full109_1G_P2_1T Ox	9	Q05926_2full109_1G_P2_1T Ox	0.00	0.00
12582.54_Da_E1044 Q05926_2full109_1G_P2_1T Ox	9	12500.47_Da_E195	82.07	82.07
12582.54_Da_E1044 Q05926_2full109_1G_P2_1T Ox	9	12426.43_Da_E1462	156.10	156.10
12640.58_Da_E257 Q05926_2full109_1G_P2_1T Ox; Acetyl; Ox	9	12582.54_Da_E1044 Q05926_2full109_1G_P2_1T Ox	58.04	58.04 Acetyl; Ox
12582.54_Da_E1044 Q05926_2full109_1G_P2_1T Ox	9	12483.47_Da_E104	99.07	99.07
12483.47_Da_E104	9	12426.43_Da_E1462	57.03	57.03
12483.47_Da_E104	9	12328.37_Da_E541	155.09	155.09
12500.47_Da_E195	9	12483.47_Da_E104	17.00	17.00
12500.47_Da_E195	9	12344.36_Da_E315	156.10	156.10
12426.43_Da_E1462	9	12328.37_Da_E541	98.07	98.07
12426.43_Da_E1462	9	12344.36_Da_E315	82.07	82.07
12344.36_Da_E315	9	12328.37_Da_E541	16.00	16.00
4315.13_Da_E2260	5	4299.14_Da_E2199	16.00	16.00
4397.21_Da_E2251	5	4315.13_Da_E2260	82.07	82.07
4397.21_Da_E2251	5	4299.14_Da_E2199	98.07	98.07
9996.15_Da_E2235 P49166_2full88_1G_P11_1T Ammonia loss; Deamidation; Ammonia loss	11	P49166_2full88_1G_P11_1T Ammonia loss; Deamidation	-17.00	-17.00 Ammonia loss
10029.2_Da_E48 P49166_2full88_1G_P1_1T Unmodified	11	P49166_2full88_1G_P1_1T Unmodified	0.00	0.00
10207.13_Da_E728 P49166_2full88_1G_P1_1T Sulfate Adduct; Phospho	11	10029.2_Da_E48 P49166_2full88_1G_P1_1T Unmodified	177.94	177.94 Sulfate Adduct; Phospho
10046.2_Da_E42 P49166_2full88_1G_P6_1T Ox; Deamidation	11	10029.2_Da_E48 P49166_2full88_1G_P1_1T Unmodified	17.00	17.00 Deamidation; Ox
10029.2_Da_E48 P49166_2full88_1G_P1_1T Unmodified	11	10012.18_Da_E365 P49166_2full88_1G_P5_1T Ammonia loss	17.03	17.03 Ammonia loss
10029.2_Da_E714 P49166_2full88_1G_P1_1T Unmodified	11	P49166_2full88_1G_P1_1T Unmodified	0.00	0.00
9958.17_Da_E1225 P49166_2full88_1G_P1_1T Missing Alanine (A)	11	P49166_2full88_1G_P1_1T Unmodified	-71.04	-71.04 Missing Alanine (A)
10160.19_Da_E735 P49166_2full88_1G_P1_1T Retained Met	11	P49166_2full88_1G_P1_1T Unmodified	131.00	131.00 Retained Met
10224.14_Da_E722 P49166_2full88_1G_P6_1T Ox; Deamidation; Sulfate Adduct; Phospho	11	10207.13_Da_E728 P49166_2full88_1G_P1_1T Sulfate Adduct; Phospho	17.00	17.00 Deamidation; Ox
10046.2_Da_E42 P49166_2full88_1G_P6_1T Ox; Deamidation	11	P49166_2full88_1G_P6_1T Ox; Deamidation	0.02	0.02
10062.2_Da_E154 P49166_2full88_1G_P6_1T Ox; Deamidation; Ox	11	10046.2_Da_E42 P49166_2full88_1G_P6_1T Ox; Deamidation	16.00	16.00 Ox
10286.1_Da_E842	11	10046.2_Da_E42 P49166_2full88_1G_P6_1T Ox; Deamidation	239.90	239.90
10224.14_Da_E722 P49166_2full88_1G_P6_1T Ox; Deamidation; Sulfate Adduct; Phospho	11	10046.2_Da_E42 P49166_2full88_1G_P6_1T Ox; Deamidation	177.94	177.94 Sulfate Adduct; Phospho
10078.19_Da_E657 P49166_2full88_1G_P6_1T Ox; Deamidation; Ox; Ox	11	10046.2_Da_E42 P49166_2full88_1G_P6_1T Ox; Deamidation	31.99	31.99 Ox; Ox
10046.2_Da_E42 P49166_2full88_1G_P6_1T Ox; Deamidation	11	10004.16_Da_E1768	42.05	42.05
10160.19_Da_E735 P49166_2full88_1G_P1_1T Retained Met	11	10046.2_Da_E42 P49166_2full88_1G_P6_1T Ox; Deamidation	113.98	113.98 Sulfate Adduct; Ox
10012.18_Da_E365 P49166_2full88_1G_P5_1T Ammonia loss	11	P49166_2full88_1G_P5_1T Ammonia loss	0.00	0.00
10012.18_Da_E365 P49166_2full88_1G_P5_1T Ammonia loss	11	9998.15_Da_E1292 P49166_2full88_1G_P12_1T Ox; Ammonia loss; Pyrrolidinone	14.02	14.02 Carbamidomethyl; Missing Alanine (A)
10029.2_Da_E714 P49166_2full88_1G_P1_1T Unmodified	11	9958.17_Da_E1225 P49166_2full88_1G_P1_1T Missing Alanine (A)	71.03	71.03 Missing Alanine (A)
10046.21_Da_E111 P49166_2full88_1G_P6_1T Ox; Deamidation	11	10029.2_Da_E714 P49166_2full88_1G_P1_1T Unmodified	17.00	17.00 Deamidation; Ox
10143.16_Da_E525 P49166_2full88_1G_P1_1T Sulfate Adduct; Ox	11	10029.2_Da_E714 P49166_2full88_1G_P1_1T Unmodified	113.98	113.98 Sulfate Adduct; Ox
10059.19_Da_E2174 P49166_2full88_1G_P4_1T Ox; Methyl	11	10029.2_Da_E714 P49166_2full88_1G_P1_1T Unmodified	30.01	30.01 Methyl; Ox
10125.15_Da_E1491 P49166_2full88_1G_P1_1T Phospho; Ox	11	10029.2_Da_E714 P49166_2full88_1G_P1_1T Unmodified	95.96	95.96 Phospho; Ox
9975.17_Da_E1344 P49166_2full88_1G_P6_1T Ox; Deamidation; Missing Alanine (A)	11	9958.17_Da_E1225 P49166_2full88_1G_P1_1T Missing Alanine (A)	17.00	17.00 Deamidation; Ox
10042.19_Da_E1171 P49166_2full88_1G_P10_1T Ox; Ammonia loss; Methyl	11	9958.17_Da_E1225 P49166_2full88_1G_P1_1T Missing Alanine (A)	84.02	84.02 Acetyl; Acetyl
10176.19_Da_E1789 P49166_2full88_1G_P4_1T Ox; Retained Met	11	10160.19_Da_E735 P49166_2full88_1G_P1_1T Retained Met	16.00	16.00 Ox
10160.19_Da_E735 P49166_2full88_1G_P1_1T Retained Met	11	10062.2_Da_E154 P49166_2full88_1G_P6_1T Ox; Deamidation; Ox	97.99	97.99 Sulfate Adduct
10256.17_Da_E1117 P49166_2full88_1G_P1_1T Retained Met; Phospho; Ox	11	10160.19_Da_E735 P49166_2full88_1G_P1_1T Retained Met	95.96	95.96 Phospho; Ox
10256.17_Da_E1117 P49166_2full88_1G_P1_1T Retained Met; Phospho; Ox	11	10224.14_Da_E722 P49166_2full88_1G_P6_1T Ox; Deamidation; Sulfate Adduct; Phospho	32.02	32.02 Ox; Ox
